"Date","daily_new_cases","total_cases"
"2020-01-01",0,0
"2020-01-02",0,0
"2020-01-03",0,0
"2020-01-04",0,0
"2020-01-05",0,0
"2020-01-06",0,0
"2020-01-07",0,0
"2020-01-08",0,0
"2020-01-09",0,0
"2020-01-10",0,0
"2020-01-11",0,0
"2020-01-12",0,0
"2020-01-13",0,0
"2020-01-14",0,0
"2020-01-15",0,0
"2020-01-16",0,0
"2020-01-17",0,0
"2020-01-18",0,0
"2020-01-19",0,0
"2020-01-20",0,0
"2020-01-21",1,1
"2020-01-22",0,1
"2020-01-23",0,1
"2020-01-24",0,1
"2020-01-25",1,2
"2020-01-26",1,3
"2020-01-27",3,6
"2020-01-28",1,7
"2020-01-29",1,8
"2020-01-30",0,8
"2020-01-31",1,9
"2020-02-01",2,11
"2020-02-02",1,12
"2020-02-03",3,15
"2020-02-04",0,15
"2020-02-05",1,16
"2020-02-06",1,17
"2020-02-07",2,19
"2020-02-08",0,19
"2020-02-09",0,19
"2020-02-10",0,19
"2020-02-11",1,20
"2020-02-12",0,20
"2020-02-13",1,21
"2020-02-14",1,22
"2020-02-15",1,23
"2020-02-16",0,23
"2020-02-17",0,23
"2020-02-18",0,23
"2020-02-19",0,23
"2020-02-20",0,23
"2020-02-21",2,25
"2020-02-22",19,44
"2020-02-23",0,44
"2020-02-24",0,44
"2020-02-25",20,64
"2020-02-26",0,64
"2020-02-27",7,71
"2020-02-28",3,74
"2020-02-29",8,82
"2020-03-01",7,89
"2020-03-02",24,113
"2020-03-03",17,130
"2020-03-04",25,155
"2020-03-05",37,192
"2020-03-06",86,278
"2020-03-07",111,389
"2020-03-08",101,490
"2020-03-09",126,616
"2020-03-10",215,831
"2020-03-11",287,1118
"2020-03-12",297,1415
"2020-03-13",386,1801
"2020-03-14",549,2350
"2020-03-15",845,3195
"2020-03-16",883,4078
"2020-03-17",1007,5085
"2020-03-18",1911,6996
"2020-03-19",3109,10105
"2020-03-20",4991,15096
"2020-03-21",5499,20595
"2020-03-22",7454,28049
"2020-03-23",8587,36636
"2020-03-24",11452,48088
"2020-03-25",9102,57190
"2020-03-26",15389,72579
"2020-03-27",17430,90009
"2020-03-28",19352,109361
"2020-03-29",20690,130051
"2020-03-30",19229,149280
"2020-03-31",22764,172044
"2020-04-01",26110,198154
"2020-04-02",28162,226316
"2020-04-03",30492,256808
"2020-04-04",33676,290484
"2020-04-05",35635,326119
"2020-04-06",27012,353131
"2020-04-07",31718,384849
"2020-04-08",31843,416692
"2020-04-09",34714,451406
"2020-04-10",35375,486781
"2020-04-11",36912,523693
"2020-04-12",29559,553252
"2020-04-13",28684,581936
"2020-04-14",26321,608257
"2020-04-15",28305,636562
"2020-04-16",31466,668028
"2020-04-17",33384,701412
"2020-04-18",32624,734036
"2020-04-19",34391,768427
"2020-04-20",26037,794464
"2020-04-21",30111,824575
"2020-04-22",38879,863454
"2020-04-23",19354,882808
"2020-04-24",28463,911271
"2020-04-25",23130,934401
"2020-04-26",49993,984394
"2020-04-27",28400,1012794
"2020-04-28",24146,1036940
"2020-04-29",25658,1062598
"2020-04-30",28898,1091496
"2020-05-01",31566,1123062
"2020-05-02",35780,1158842
"2020-05-03",30941,1189783
"2020-05-04",27732,1217515
"2020-05-05",23891,1241406
"2020-05-06",25115,1266521
"2020-05-07",25578,1292099
"2020-05-08",29795,1321894
"2020-05-09",28469,1350363
"2020-05-10",26880,1377243
"2020-05-11",21404,1398647
