"Date","Air_Canada_open","Air_Canada_close","Air_Canada_pert_change","Oil_open","Oil_close","Oil_pert_change","Gold_open","Gold_close","Gold_pert_change","Pton_open","Pton_close","Pton_pert_change","Loblaws_open","Loblaws_close","Loblaw_pert_change","Amazon_open","Amazon_close","Amazon_pert_change","netflix_open","netflix_close","netflix_pert_change","uber_open","uber_close","uber_pert_change"
"2020-08-13","16.82","17.08","1.55","42.62","42.48","-0.33","1944.9","1965.7","1.07","63","65.71","4.3","70.13","70.73","0.86","3182.99","3161.02","-0.69","478.4","481.33","0.61","30.52","30.46","-0.2"
"2020-08-12","16.9","16.95","0.3","41.62","42.67","2.52","1923","1934.9","0.62","65.21","64.36","-1.3","70.31","70.35","0.06","3108","3162.24","1.75","471.34","475.47","0.88","31.46","30.84","-1.97"
"2020-08-11","16.87","16.69","-1.07","41.98","41.61","-0.88","2012.4","1932.6","-3.97","65.69","64.96","-1.11","69.76","70.2","0.63","3113.2","3080.67","-1.04","479.75","466.93","-2.67","31.66","31.21","-1.42"
"2020-08-10","15.9","16.23","2.08","41.5","41.94","1.06","2026.4","2024.4","-0.1","68.48","67.12","-1.99","69.91","69.53","-0.54","3170.31","3148.16","-0.7","493.35","483.38","-2.02","33.04","32.27","-2.33"
"2020-08-07","15.91","15.73","-1.13","41.97","41.22","-1.79","2040.1","2010.1","-1.47","69.99","68.3","-2.41","69.91","69.81","-0.14","3224.01","3167.46","-1.75","505.45","494.73","-2.12","33.09","32.9","-0.57"
"2020-08-06","15.83","15.95","0.76","42.19","41.95","-0.57","2045.5","2051.5","0.29","71.73","69.72","-2.8","69.56","69.97","0.59","3194.36","3225","0.96","504.11","509.08","0.99","33.27","34.71","4.33"
"2020-08-05","15.37","15.72","2.28","41.56","42.19","1.52","2024","2031.1","0.35","69.73","71.21","2.12","69.79","69.9","0.16","3143.77","3205.03","1.95","508.68","502.11","-1.29","33.1","33.2","0.3"
"2020-08-04","15.44","15.12","-2.07","40.78","41.7","2.26","1971","2001.2","1.53","70.95","70.01","-1.32","69.85","69.77","-0.11","3101.21","3138.83","1.21","498.65","509.64","2.2","31.17","32.68","4.84"
"2020-07-30","16.17","16.09","-0.49","41.32","39.92","-3.39","1963.4","1942.3","-1.07","66.17","65.28","-1.35","69.6","70","0.57","3014","3051.88","1.26","480.71","485.8","1.06","30.65","30.24","-1.34"
"2020-07-29","16.75","16.36","-2.33","41.13","41.27","0.34","1953.2","1953.5","0.02","64.72","66.65","2.98","69.12","69.79","0.97","3030.99","3033.53","0.08","492.25","484.48","-1.58","30.92","31.02","0.32"
"2020-07-28","16.18","16.73","3.4","41.65","41.04","-1.46","1931.5","1944.7","0.68","64.3","64.11","-0.3","69","68.8","-0.29","3054.27","3000.33","-1.77","496.02","488.51","-1.51","30.79","30.81","0.06"
"2020-07-27","16.44","16.33","-0.67","41.26","41.6","0.82","1901.7","1931","1.54","62.58","63.68","1.76","68.79","69.25","0.67","3062","3055.21","-0.22","484.51","495.65","2.3","31.21","30.99","-0.7"
"2020-07-24","16.7","16.47","-1.38","41.06","41.29","0.56","1884.3","1897.3","0.69","61.56","61.82","0.42","69.53","69.13","-0.58","2930","3008.91","2.69","468.77","480.45","2.49","31.74","31.18","-1.76"
"2020-07-23","16.84","16.82","-0.12","41.95","41.07","-2.1","1868.7","1889.1","1.09","64.31","62.31","-3.11","69.23","69.46","0.33","3098.27","2986.55","-3.61","491.13","477.58","-2.76","32.33","32.17","-0.49"
"2020-07-22","16.93","16.84","-0.53","41.54","41.9","0.87","1858.1","1864.1","0.32","62.9","64.14","1.97","68.99","68.42","-0.83","3125","3099.91","-0.8","492.19","489.82","-0.48","32.44","32.66","0.68"
